Date,AMZN
6/9/2015,425.480011
6/10/2015,430.769989
6/11/2015,432.970001
6/12/2015,429.920013
6/15/2015,423.670013
6/16/2015,427.26001
6/17/2015,427.809998
6/18/2015,439.390015
6/19/2015,434.920013
6/22/2015,436.290009
6/23/2015,445.98999
6/24/2015,440.839996
6/25/2015,440.100006
6/26/2015,438.100006
6/29/2015,429.859985
6/30/2015,434.089996
7/1/2015,437.390015
7/2/2015,437.709991
7/6/2015,436.040009
7/7/2015,436.720001
7/8/2015,429.700012
7/9/2015,434.390015
7/10/2015,443.51001
7/13/2015,455.570007
7/14/2015,465.570007
7/15/2015,461.190002
7/16/2015,475.480011
7/17/2015,483.01001
7/20/2015,488.100006
7/21/2015,488
7/22/2015,488.269989
7/23/2015,482.179993
7/24/2015,529.419983
7/27/2015,531.409973
7/28/2015,526.030029
7/29/2015,529
7/30/2015,536.76001
7/31/2015,536.150024
8/3/2015,535.030029
8/4/2015,531.900024
8/5/2015,537.01001
8/6/2015,529.460022
8/7/2015,522.619995
8/10/2015,524
8/11/2015,527.460022
8/12/2015,525.909973
8/13/2015,529.659973
8/14/2015,531.52002
8/17/2015,535.219971
8/18/2015,535.02002
8/19/2015,532.919983
8/20/2015,515.780029
8/21/2015,494.470001
8/24/2015,463.369995
8/25/2015,466.369995
8/26/2015,500.769989
8/27/2015,518.369995
8/28/2015,518.01001
8/31/2015,512.890015
9/1/2015,496.540009
9/2/2015,510.549988
9/3/2015,504.720001
9/4/2015,499
9/8/2015,517.539978
9/9/2015,516.890015
9/10/2015,522.23999
9/11/2015,529.440002
9/14/2015,521.380005
9/15/2015,522.369995
9/16/2015,527.390015
9/17/2015,538.869995
9/18/2015,540.26001
9/21/2015,548.390015
9/22/2015,538.400024
9/23/2015,536.070007
9/24/2015,533.75
9/25/2015,524.25
9/28/2015,504.059998
9/29/2015,496.070007
9/30/2015,511.890015
10/1/2015,520.719971
10/2/2015,532.539978
10/5/2015,543.679993
10/6/2015,537.47998
10/7/2015,541.940002
10/8/2015,533.159973
10/9/2015,539.799988
10/12/2015,550.190002
10/13/2015,548.900024
10/14/2015,544.830017
10/15/2015,562.440002
10/16/2015,570.76001
10/19/2015,573.150024
10/20/2015,560.880005
10/21/2015,555.77002
10/22/2015,563.909973
10/23/2015,599.030029
10/26/2015,608.609985
10/27/2015,611.01001
10/28/2015,617.099976
10/29/2015,626.549988
10/30/2015,625.900024
11/2/2015,628.349976
11/3/2015,625.309998
11/4/2015,640.950012
11/5/2015,655.650024
11/6/2015,659.369995
11/9/2015,655.48999
11/10/2015,659.679993
11/11/2015,673.25
11/12/2015,665.599976
11/13/2015,642.349976
11/16/2015,647.809998
11/17/2015,643.299988
11/18/2015,663.539978
11/19/2015,661.27002
11/20/2015,668.450012
11/23/2015,678.98999
11/24/2015,671.150024
11/25/2015,675.340027
11/27/2015,673.26001
11/30/2015,664.799988
12/1/2015,679.059998
12/2/2015,676.01001
12/3/2015,666.25
12/4/2015,672.640015
12/7/2015,669.830017
12/8/2015,677.330017
12/9/2015,664.789978
12/10/2015,662.320007
12/11/2015,640.150024
12/14/2015,657.909973
12/15/2015,658.640015
12/16/2015,675.77002
12/17/2015,670.650024
12/18/2015,664.140015
12/21/2015,664.51001
12/22/2015,663.150024
12/23/2015,663.700012
12/24/2015,662.789978
12/28/2015,675.200012
12/29/2015,693.969971
12/30/2015,689.070007
12/31/2015,675.890015
1/4/2016,636.98999
1/5/2016,633.789978
1/6/2016,632.650024
1/7/2016,607.940002
1/8/2016,607.049988
1/11/2016,617.73999
1/12/2016,617.890015
1/13/2016,581.809998
1/14/2016,593
1/15/2016,570.179993
1/19/2016,574.47998
1/20/2016,571.77002
1/21/2016,575.02002
1/22/2016,596.380005
1/25/2016,596.530029
1/26/2016,601.25
1/27/2016,583.349976
1/28/2016,635.349976
1/29/2016,587
2/1/2016,574.809998
2/2/2016,552.099976
2/3/2016,531.070007
2/4/2016,536.26001
2/5/2016,502.130005
2/8/2016,488.100006
2/9/2016,482.070007
2/10/2016,490.480011
2/11/2016,503.820007
2/12/2016,507.079987
2/16/2016,521.099976
2/17/2016,534.099976
2/18/2016,525
2/19/2016,534.900024
2/22/2016,559.5
2/23/2016,552.940002
2/24/2016,554.039978
2/25/2016,555.150024
2/26/2016,555.22998
2/29/2016,552.52002
3/1/2016,579.039978
3/2/2016,580.210022
3/3/2016,577.48999
3/4/2016,575.140015
3/7/2016,562.799988
3/8/2016,560.26001
3/9/2016,559.469971
3/10/2016,558.929993
3/11/2016,569.609985
3/14/2016,573.369995
3/15/2016,577.02002
3/16/2016,574.27002
3/17/2016,559.440002
3/18/2016,552.080017
3/21/2016,553.97998
3/22/2016,560.47998
3/23/2016,569.630005
3/24/2016,582.950012
3/28/2016,579.869995
3/29/2016,593.859985
3/30/2016,598.690002
3/31/2016,593.640015
4/1/2016,598.5
4/4/2016,593.190002
4/5/2016,586.140015
4/6/2016,602.080017
4/7/2016,591.429993
4/8/2016,594.599976
4/11/2016,595.929993
4/12/2016,603.169983
4/13/2016,614.820007
4/14/2016,620.75
4/15/2016,625.890015
4/18/2016,635.349976
4/19/2016,627.900024
4/20/2016,632.98999
4/21/2016,631
4/22/2016,620.5
4/25/2016,626.200012
4/26/2016,616.880005
4/27/2016,606.570007
4/28/2016,602
4/29/2016,659.590027
5/2/2016,683.849976
5/3/2016,671.320007
5/4/2016,670.900024
5/5/2016,659.090027
5/6/2016,673.950012
5/9/2016,679.75
5/10/2016,703.070007
5/11/2016,713.22998
5/12/2016,717.929993
5/13/2016,709.919983
5/16/2016,710.659973
5/17/2016,695.27002
5/18/2016,697.450012
5/19/2016,698.52002
5/20/2016,702.799988
5/23/2016,696.75
5/24/2016,704.200012
5/25/2016,708.349976
5/26/2016,714.909973
5/27/2016,712.23999
5/31/2016,722.789978
6/1/2016,719.440002
6/2/2016,728.23999
6/3/2016,725.539978
6/6/2016,726.72998
6/7/2016,723.73999
6/8/2016,726.640015
6/9/2016,727.650024
6/10/2016,717.909973
6/13/2016,715.23999
6/14/2016,719.299988
6/15/2016,714.26001
6/16/2016,717.51001
6/17/2016,706.390015
6/20/2016,714.01001
6/21/2016,715.820007
6/22/2016,710.599976
6/23/2016,722.080017
6/24/2016,698.960022
6/27/2016,691.359985
6/28/2016,707.950012
6/29/2016,715.599976
6/30/2016,715.619995
7/1/2016,725.679993
7/5/2016,728.099976
7/6/2016,737.609985
7/7/2016,736.570007
7/8/2016,745.809998
7/11/2016,753.780029
7/12/2016,748.210022
7/13/2016,742.630005
7/14/2016,741.200012
7/15/2016,735.440002
7/18/2016,736.070007
7/19/2016,739.950012
7/20/2016,745.719971
7/21/2016,744.429993
